,Time,Plasma Level
186,67.95795796,-0.07228418
187,68.32332332,-0.07005847
188,68.68868869,-0.067910737
189,69.05405405,-0.065838193
190,69.41941942,-0.063838148
191,69.78478478,-0.061908012
192,70.15015015,-0.060045284
193,70.51551552,-0.058247554
194,70.88088088,-0.056512498
195,71.24624625,-0.054837876
196,71.61161161,-0.053221526
197,71.97697698,-0.051661366
198,72.34234234,-0.050155386
199,72.70770771,-0.04870165
200,73.07307307,-0.047298289
201,73.43843844,-0.045943502
202,73.8038038,-0.044635553
203,74.16916917,-0.043372768
204,74.53453453,-0.042153531
205,74.8998999,-0.040976286
206,75.26526527,-0.039839531
207,75.63063063,-0.03874182
208,75.995996,-0.037681756
209,76.36136136,-0.036657993
210,76.72672673,-0.035669235
211,77.09209209,-0.034714229
212,77.45745746,-0.033791768
213,77.82282282,-0.032900691
214,78.18818819,-0.032039874
215,78.55355355,-0.031208236
216,78.91891892,-0.030404735
217,79.28428428,-0.029628364
218,79.64964965,-0.028878153
219,80.01501502,-0.028153169
220,80.38038038,-0.027452508
221,80.74574575,-0.026775302
222,81.11111111,-0.026120713
223,81.47647648,-0.025487932
224,81.84184184,-0.024876179
225,82.20720721,-0.024284704
226,82.57257257,-0.023712781
227,82.93793794,-0.023159713
228,83.3033033,-0.022624824
229,83.66866867,-0.022107467
230,84.03403403,-0.021607013
231,84.3993994,-0.021122859
232,84.76476476,-0.020654424
233,85.13013013,-0.020201144
234,85.4954955,-0.01976248
235,85.86086086,-0.019337907
236,86.22622623,-0.018926924
237,86.59159159,-0.018529045
238,86.95695696,-0.018143802
239,87.32232232,-0.017770742
240,87.68768769,-0.017409432
241,88.05305305,-0.017059451
242,88.41841842,-0.016720396
243,88.78378378,-0.016391874
244,89.14914915,-0.016073512
245,89.51451451,-0.015764945
246,89.87987988,-0.015465824
247,90.24524525,-0.015175811
248,90.61061061,-0.014894583
249,90.97597598,-0.014621824
250,91.34134134,-0.014357232
251,91.70670671,-0.014100517
252,92.07207207,-0.013851397
253,92.43743744,-0.0136096
254,92.8028028,-0.013374866
255,93.16816817,-0.013146943
256,93.53353353,-0.012925586
257,93.8988989,-0.012710563
258,94.26426426,-0.012501648
259,94.62962963,-0.012298621
260,94.99499499,-0.012101274
261,95.36036036,-0.011909403
262,95.72572573,-0.011722814
263,96.09109109,-0.011541318
264,96.45645646,-0.011364734
265,96.82182182,-0.011192886
266,97.18718719,-0.011025605
267,97.55255255,-0.01086273
268,97.91791792,-0.010704102
269,98.28328328,-0.010549571
270,98.64864865,-0.01039899
271,99.01401401,-0.010252219
272,99.37937938,-0.010109122
273,99.74474474,-0.009969568
274,100.1101101,-0.009833431
275,100.4754755,-0.00970059
276,100.8408408,-0.009570927
277,101.2062062,-0.009444329
278,101.5715716,-0.009320687
279,101.9369369,-0.009199896
280,102.3023023,-0.009081855
281,102.6676677,-0.008966465
282,103.033033,-0.008853632
283,103.3983984,-0.008743266
284,103.7637638,-0.008635279
285,104.1291291,-0.008529587
286,104.4944945,-0.008426107
287,104.8598599,-0.008324761
288,105.2252252,-0.008225474
289,105.5905906,-0.008128173
290,105.955956,-0.008032786
291,106.3213213,-0.007939246
292,106.6866867,-0.007847489
293,107.0520521,-0.007757449
294,107.4174174,-0.007669067
295,107.7827828,-0.007582284
296,108.1481481,-0.007497043
297,108.5135135,-0.00741329
298,108.8788789,-0.007330972
299,109.2442442,-0.007250038
300,109.6096096,-0.007170439
301,109.974975,-0.007092128
302,110.3403403,-0.00701506
303,110.7057057,-0.00693919
304,111.0710711,-0.006864477
305,111.4364364,-0.00679088
306,111.8018018,-0.006718359
307,112.1671672,-0.006646876
308,112.5325325,-0.006576395
309,112.8978979,-0.006506881
310,113.2632633,-0.006438299
311,113.6286286,-0.006370616
312,113.993994,-0.006303802
313,114.3593594,-0.006237825
314,114.7247247,-0.006172657
315,115.0900901,-0.006108269
316,115.4554555,-0.006044633
317,115.8208208,-0.005981723
318,116.1861862,-0.005919514
319,116.5515516,-0.005857981
320,116.9169169,-0.005797101
321,117.2822823,-0.005736851
322,117.6476476,-0.005677209
323,118.013013,-0.005618153
324,118.3783784,-0.005559664
325,118.7437437,-0.005501721
326,119.1091091,-0.005444306
327,119.4744745,-0.005387401
328,119.8398398,-0.005330987
329,120.2052052,-0.005275048
330,120.5705706,-0.005219567
331,120.9359359,-0.005164528
332,121.3013013,-0.005109916
333,121.6666667,-0.005055717
334,122.032032,-0.005001916
335,122.3973974,-0.0049485
336,122.7627628,-0.004895455
337,123.1281281,-0.004842769
338,123.4934935,-0.004790429
339,123.8588589,-0.004738423
340,124.2242242,-0.004686741
341,124.5895896,-0.004635371
342,124.954955,-0.004584302
343,125.3203203,-0.004533525
344,125.6856857,-0.004483029
345,126.0510511,-0.004432805
346,126.4164164,-0.004382844
347,126.7817818,-0.004333137
348,127.1471471,-0.004283675
349,127.5125125,-0.004234451
350,127.8778779,-0.004185456
351,128.2432432,-0.004136682
352,128.6086086,-0.004088123
353,128.973974,-0.00403977
354,129.3393393,-0.003991618
355,129.7047047,-0.00394366
356,130.0700701,-0.003895889
357,130.4354354,-0.003848299
358,130.8008008,-0.003800885
359,131.1661662,-0.00375364
360,131.5315315,-0.003706559
361,131.8968969,-0.003659637
362,132.2622623,-0.003612868
363,132.6276276,-0.003566249
364,132.992993,-0.003519773
365,133.3583584,-0.003473436
366,133.7237237,-0.003427234
367,134.0890891,-0.003381163
368,134.4544545,-0.003335218
369,134.8198198,-0.003289396
370,135.1851852,-0.003243693
371,135.5505506,-0.003198105
372,135.9159159,-0.003152628
373,136.2812813,-0.003107259
374,136.6466466,-0.003061995
375,137.012012,-0.003016832
376,137.3773774,-0.002971768
377,137.7427427,-0.002926799
378,138.1081081,-0.002881923
379,138.4734735,-0.002837137
380,138.8388388,-0.002792438
381,139.2042042,-0.002747823
382,139.5695696,-0.002703291
