,Time,Plasma Level
0,0,-11.11111111
1,0.365365365,-11.11111111
2,0.730730731,-11.11111111
3,1.096096096,-11.11111111
4,1.461461461,-11.11111111
5,1.826826827,-11.11111111
6,2.192192192,-11.11111111
7,2.557557558,-11.11111111
8,2.922922923,-11.11111111
9,3.288288288,-11.11111111
10,3.653653654,-11.11111111
11,4.019019019,-11.11111111
12,4.384384384,-11.11111111
13,4.74974975,-11.11111111
14,5.115115115,-11.11111111
15,5.48048048,-11.11111111
16,5.845845846,-11.11111111
17,6.211211211,-11.11111111
18,6.576576577,-11.11111111
19,6.941941942,-11.11111111
20,7.307307307,-11.11111111
21,7.672672673,-11.11111111
22,8.038038038,-11.11111111
23,8.403403403,-11.11111111
24,8.768768769,-11.11111111
25,9.134134134,-11.11111111
26,9.499499499,-11.11111111
27,9.864864865,-11.11111111
28,10.23023023,-11.11111111
29,10.5955956,-11.11111111
30,10.96096096,-11.11111111
31,11.32632633,-11.11111111
32,11.69169169,-11.11111111
33,12.05705706,-11.11111111
34,12.42242242,-11.11111111
35,12.78778779,-11.11111111
36,13.15315315,-11.11111111
37,13.51851852,-11.11111111
38,13.88388388,-11.11111111
39,14.24924925,-10.90942963
40,14.61461461,-10.62231789
41,14.97997998,-10.34503105
42,15.34534535,-10.07723155
43,15.71071071,-9.818593385
44,16.07607608,-9.568801669
45,16.44144144,-9.327552299
46,16.80680681,-9.094551571
47,17.17217217,-8.869515825
48,17.53753754,-8.652171111
49,17.9029029,-8.442252855
50,18.26826827,-8.23950554
51,18.63363363,-8.043682402
52,18.998999,-7.854545127
53,19.36436436,-7.671863569
54,19.72972973,-7.495415466
55,20.0950951,-7.324986179
56,20.46046046,-7.160368424
57,20.82582583,-7.00136203
58,21.19119119,-6.847773691
59,21.55655656,-6.699416732
60,21.92192192,-6.556110887
61,22.28728729,-6.417682078
62,22.65265265,-6.283962203
63,23.01801802,-6.154788934
64,23.38338338,-6.030005518
65,23.74874875,-5.90946059
66,24.11411411,-5.793007984
67,24.47947948,-5.680506562
68,24.84484484,-5.571820034
69,25.21021021,-5.466816801
70,25.57557558,-5.365369788
71,25.94094094,-5.267356293
72,26.30630631,-5.172657835
73,26.67167167,-5.081160013
74,27.03703704,-4.992752363
75,27.4024024,-4.907328223
76,27.76776777,-4.824784608
77,28.13313313,-9.432931466
78,28.4984985,-9.123617618
79,28.86386386,-8.824877697
80,29.22922923,-8.536348326
81,29.59459459,-8.257678551
82,29.95995996,-7.988529422
83,30.32532533,-7.728573582
84,30.69069069,-7.477494878
85,31.05605606,-7.234987975
86,31.42142142,-7.000757991
87,31.78678679,-6.774520145
88,32.15215215,-6.555999406
89,32.51751752,-6.344930168
90,32.88288288,-6.141055927
91,33.24824825,-5.94412897
92,33.61361361,-5.753910078
93,33.97897898,-5.570168235
94,34.34434434,-5.392680349
95,34.70970971,-5.221230982
96,35.07507508,-5.055612089
97,35.44044044,-4.895622768
98,35.80580581,-4.741069013
99,36.17117117,-4.591763481
100,36.53653654,-4.447525263
101,36.9019019,-4.308179666
102,37.26726727,-4.173558001
103,37.63263263,-4.043497375
104,37.997998,-3.917840498
105,38.36336336,-3.796435486
106,38.72872873,-3.679135679
107,39.09409409,-3.565799465
108,39.45945946,-3.456290101
109,39.82482482,-3.350475552
110,40.19019019,-3.248228329
111,40.55555556,-3.14942533
112,40.92092092,-3.053947694
113,41.28628629,-2.961680652
114,41.65165165,-2.872513392
115,42.01701702,-9.044325226
116,42.38238238,-8.73024989
117,42.74774775,-8.426908128
118,43.11311311,-8.133931095
119,43.47847848,-7.850962556
120,43.84384384,-7.577658459
121,44.20920921,-7.313686521
122,44.57457457,-7.058725828
123,44.93993994,-6.812466451
